0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:59 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:03 +0900] "POST /spring_mysql/login/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:03 +0900] "GET /spring_mysql/board/list HTTP/1.1" 200 10059
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:07 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:09 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:10 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:13 +0900] "POST /spring_mysql/login/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:22:13 +0900] "GET /spring_mysql/board/list HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:24:44 +0900] "GET /spring_mysql/board/sessionDelete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:24:44 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:25:10 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:25:15 +0900] "POST /spring_mysql/login/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:25:15 +0900] "GET /spring_mysql/board/list HTTP/1.1" 200 3301
